INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Magnesium Ascorbyl Phosphate Phosphate,MAP variant,Active,Brightening; Antioxidant,3.0,5.0,10.0,Brightening; Antioxidant; Enzymatic AA conversion,Enzymatic AA conversion,Pigmentation; Acne & Oily Skin; Dullness; UV Damage; Aging & Fine Lines,6.0-7.5,Highly stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Niacinamide,Low pH acids,Slow onset,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Enzymatic AA conversion,Water,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Sodium Cocoyl Alaninate,Amino-acid surfactant,Functional,Mild surfactant,2.0,5.0,10.0,Gentle cleansing; Mild surfactant; Low-irritation surfactant,Low-irritation surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.75,Cocamidopropyl Betaine,,,Limited,0.4,0.3,,,,Moderate,5.0,4.0,Low,Surfactant,Low-irritation surfactant,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Cocoyl Glycinate,Amino-acid surfactant,Functional,Mild surfactant,2.0,5.0,10.0,Gentle cleansing; Mild surfactant; Skin-identical amino acid surfactant,Skin-identical amino acid surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Cocamidopropyl Betaine,,,Limited,0.4,0.3200000000000001,,,,Moderate,5.0,4.0,Low,Surfactant,Skin-identical amino acid surfactant,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Disodium Cocoyl Glutamate,Amino-acid surfactant,Functional,Mild surfactant,2.0,5.0,10.0,Gentle cleansing; Mild surfactant; Low irritation cleansing,Low irritation cleansing,Sensitive Skin,5.0-6.5,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Sodium Cocoyl Glutamate,,,Limited,0.4,0.3200000000000001,,,,Moderate,5.0,4.0,Low,Surfactant,Low irritation cleansing,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Lauryl Glucoside,Alkyl polyglucoside,Functional,Nonionic surfactant,2.0,5.0,10.0,Gentle cleansing; Nonionic surfactant; Sugar-based surfactant,Sugar-based surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.7,Decyl Glucoside,,,Limited,0.4,0.28,,,,Moderate,5.0,4.0,Low,Surfactant (Non-ionic),Sugar-based surfactant,Both,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Coco-Betaine,Amphoteric surfactant,Functional,Mild surfactant,2.0,6.0,12.0,Foam boosting; Mild surfactant; Zwitterionic surfactant,Zwitterionic surfactant,Sensitive Skin,5.0-7.0,Stable,Moderate,2.0,Safe,Limited,Immediate,0.6,Sodium Laureth Sulfate,,Allergy reports,Limited,0.4,0.24,,,,Moderate,5.0,4.0,Medium,Surfactant,Zwitterionic surfactant,Both,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Sodium Lauroamphoacetate,Amphoteric surfactant,Functional,Mild surfactant,2.0,6.0,12.0,Gentle cleansing; Mild surfactant; Large amphoteric molecule,Large amphoteric molecule,Sensitive Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.75,Cocamidopropyl Betaine,,,Limited,0.4,0.3,,,,Moderate,5.0,4.0,Low,Surfactant,Large amphoteric molecule,Water,Wash-off,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
PEG-6 Caprylic/Capric Glycerides,PEG glycerides,Functional,Solubilizer; Surfactant,0.5,2.0,5.0,Solubilization; Solubilizer; Surfactant; Nonionic surfactant,Nonionic surfactant,Hydration,4.0-8.0,Stable,Low,2.0,Safe,Limited,N/A - Functional/Excipient,0.3,Fragrance,,Ethoxylation concern,Limited,0.4,0.12,,,,Moderate,5.0,4.0,Low,Surfactant,Nonionic surfactant,Both,Wash-off,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polyglyceryl-10 Laurate,Polyglycerol ester,Functional,Emulsifier; Solubilizer,0.5,2.0,5.0,Gentle solubilization; Emulsifier; Solubilizer; Non-ethoxylated emulsifier,Non-ethoxylated emulsifier,Sensitive Skin,4.0-8.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.35,Essential oils,,,Limited,0.4,0.14,,,,Moderate,3.0,4.0,Low,Emulsifier,Non-ethoxylated emulsifier,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polyglyceryl-6 Caprylate,Polyglycerol ester,Functional,Emulsifier; Preservative booster,0.3,1.0,3.0,Antimicrobial support; Emulsifier; Preservative booster; Membrane disruption,Membrane disruption,None (functional/excipient ingredient),4.0-8.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.35,Glyceryl Caprylate,,,Limited,0.4,0.14,,,,Moderate,3.0,4.0,Low,Preservative,Membrane disruption,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Glyceryl Caprylate,Monoglyceride,Functional,Emollient; Preservative booster,0.2,0.5,2.0,Antimicrobial support; Hydration; Preservative booster; Membrane disruption,Membrane disruption,Hydration,4.0-8.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.4,Phenoxyethanol,,,Limited,0.4,0.16,,,,Moderate,6.0,4.0,Low,Preservative,Membrane disruption,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Levulinate,Levulinic acid sodium salt,Functional,Preservative,0.3,1.0,2.0,Preservation; Preservative; pH-dependent antimicrobial,pH-dependent antimicrobial,None (functional/excipient ingredient),4.5-5.5,pH dependent,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.3,Sodium Anisate,High pH formulas,Ineffective at high pH,Limited,0.4,0.12,,,,Moderate,2.0,4.0,Low,Preservative,pH-dependent antimicrobial,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Anisate,Anisic acid sodium salt,Functional,Preservative,0.3,1.0,2.0,Preservation; Preservative; Organic acid antimicrobial,Organic acid antimicrobial,None (functional/excipient ingredient),4.5-5.5,pH dependent,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.3,Sodium Levulinate,High pH formulas,Ineffective at high pH,Limited,0.4,0.12,,,,Moderate,2.0,4.0,Low,Preservative,Organic acid antimicrobial,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Caprylhydroxamic Acid,CHA,Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; Metal chelation antimicrobial,Metal chelation antimicrobial,None (functional/excipient ingredient),4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.45,Glycols,,,Limited,0.4,0.18,,,,Moderate,2.0,4.0,Low,Preservative,Metal chelation antimicrobial,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Dehydroacetic Acid,"3-Acetyl-6-methyl-2H-pyran-2,4(3H)-dione; DHA preservative",Functional,Preservative,0.3,0.6,1.0,Preservation; Preservative; Fungal inhibition,Fungal inhibition,None (functional/excipient ingredient),4.0-6.0,Stable,Low,0.0,Safe at recommended concentrations,Limited,N/A - Functional/Excipient,0.35,Benzyl Alcohol,High pH formulas,,Limited,0.4,0.14,,,,Moderate,2.0,4.0,Low,Preservative,Fungal inhibition,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Benzyl Alcohol,Phenylmethanol,Functional,Preservative; Solvent,0.5,1.0,1.0,Preservation; Preservative; Solvent; Protein denaturation,Protein denaturation,None (functional/excipient ingredient),4.0-8.0,Stable,Moderate,1.0,Restricted use; consult physician,Limited,N/A - Functional/Excipient,0.2,Dehydroacetic Acid,Sensitive skin,Allergen risk,Limited,0.4,0.08,,,,Moderate,2.0,4.0,Medium,Preservative,Protein denaturation,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,EU: 1.0% preservative; fragrance allergen disclosure >0.001% leave-on,Tier 4: Inert Functional,0.1
Potassium Benzoate,Benzoic acid potassium salt,Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; pH-dependent antimicrobial,pH-dependent antimicrobial,None (functional/excipient ingredient),4.5-5.5,pH dependent,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.25,Sodium Benzoate,High pH formulas,,Limited,0.4,0.1,,,,Moderate,2.0,4.0,Low,Preservative,pH-dependent antimicrobial,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Dehydroacetate,Dehydroacetic acid sodium salt,Functional,Preservative,0.3,0.6,1.0,Preservation; Preservative; Fungal inhibition,Fungal inhibition,None (functional/excipient ingredient),4.0-6.0,Stable,Low,0.0,Safe at recommended concentrations,Limited,N/A - Functional/Excipient,0.3,Benzyl Alcohol,High pH formulas,,Limited,0.4,0.12,,,,Moderate,2.0,4.0,Low,Preservative,Fungal inhibition,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Undecylenoyl Glycine,Sebum regulator,Active,Anti-acne,0.5,2.0,5.0,Oil Control; Anti-acne,Sebum normalization,Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Sebum normalization,Both,Leave-on,,,,Mid (4-8w),4-6 weeks,,Tier 4: Inert Functional,0.1
Oleanolic Acid,3beta-Hydroxyolean-12-en-28-oic acid,Active,Sebum regulation,0.1,0.3,1.0,Oil Control; Anti-acne; 5a-reductase inhibition,5a-reductase inhibition,Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,5a-reductase inhibition,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Nordihydroguaiaretic Acid,NDGA,Active,Antioxidant,0.05,0.1,0.3,Soothing; Antioxidant; Lipoxygenase inhibition,Lipoxygenase inhibition,Redness; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Moderate,1.0,Restricted use,Moderate,4-8 weeks,0.6,Vitamin E,,Safety scrutiny,Moderate,0.7,0.42,,,,Moderate,5.0,6.0,Medium,Antioxidant,Lipoxygenase inhibition,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Apigenin,"4',5,7-Trihydroxyflavone",Active,Soothing; Antioxidant,0.05,0.2,1.0,Soothing; Antioxidant,NF-?B inhibition,Sensitive Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Moderate,2-4 weeks,0.75,Niacinamide,,,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,NF-?B inhibition,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Quercetin,"3,3',4',5,7-Pentahydroxyflavone",Active,Antioxidant,0.05,0.2,1.0,Anti-aging; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Vitamin C,,Stability dependent,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Free radical scavenging,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Rutin,Quercetin-3-rutinoside; Rutoside; Sophorin,Active,Capillary support,0.1,0.5,2.0,Soothing; Capillary support; Vascular strengthening,Vascular strengthening,Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Vitamin C,,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Vascular strengthening,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Ellagic Acid,"2,3,7,8-Tetrahydroxybenzo[g]chromen-5,10-dione",Active,Brightening; Antioxidant,0.05,0.2,1.0,Brightening; Antioxidant; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,4.5-6.5,Light sensitive,Low,0.0,Safe,Moderate,6-10 weeks,0.8,Vitamin C,,Low solubility,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Tyrosinase inhibition,Both,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Feruloyl Soy Glycerides,Ferulic acid esterified soy glycerides,Active,Antioxidant,0.5,1.0,3.0,Photoprotection; Antioxidant; Ferulic derivative action,Ferulic derivative action,Aging & Fine Lines; UV Damage,4.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Vitamin C derivatives,,Limited adoption,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Ferulic derivative action,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Syringic Acid,"4-Hydroxy-3,5-dimethoxybenzoic acid",Active,Antioxidant,0.05,0.2,1.0,Anti-aging; Antioxidant; Phenolic scavenging,Phenolic scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Ferulic Acid,,Emerging data,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Phenolic scavenging,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Vanillic Acid,4-Hydroxy-3-methoxybenzoic acid,Active,Antioxidant,0.05,0.2,1.0,Skin protection; Antioxidant,Phenolic antioxidant,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.65,Vitamin E,,Emerging data,Moderate,0.7,0.455,,,,Moderate,5.0,6.0,Low,Antioxidant,Phenolic antioxidant,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Sinapic Acid,"4-Hydroxy-3,5-dimethoxycinnamic acid",Active,Antioxidant,0.05,0.2,1.0,Photoprotection; Antioxidant; Phenolic radical scavenging,Phenolic radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Ferulic Acid,,Emerging data,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Phenolic radical scavenging,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Caffeic Acid,"3,4-Dihydroxycinnamic acid",Active,Antioxidant,0.05,0.2,1.0,Photoprotection; Antioxidant; ROS scavenging,ROS scavenging,Aging & Fine Lines; UV Damage,4.5-6.5,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Vitamin C,,Stability dependent,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,ROS scavenging,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Chlorogenic Acid,3-O-Caffeoylquinic acid,Active,Antioxidant,0.05,0.2,1.0,Anti-aging; Antioxidant,Polyphenol antioxidant,Aging & Fine Lines; UV Damage,4.5-6.5,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Caffeine,,,Moderate,0.7,0.4899999999999999,,,,Moderate,5.0,6.0,Low,Antioxidant,Polyphenol antioxidant,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Rosmarinic Acid,"2-(3,4-Dihydroxyphenyl)-2-oxoethyl 3-(3,4-dihydroxyphenyl)acrylate",Active,Soothing; Antioxidant,0.05,0.3,1.0,Soothing; Antioxidant,Anti-inflammatory polyphenol,Sensitive Skin; Redness; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Moderate,2-4 weeks,0.8,Centella Extract,,,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Anti-inflammatory polyphenol,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Ursolic Acid,3beta-Hydroxyurs-12-en-28-oic acid,Active,Anti-aging,0.05,0.2,1.0,Anti-aging; Collagen synthesis stimulation,Collagen synthesis stimulation,Aging & Fine Lines,5.0-7.0,Low solubility,Moderate,1.0,Safe,Limited,6-10 weeks,0.75,Niacinamide,,Formulation difficulty,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Medium,Skin Conditioning,Collagen synthesis stimulation,Both,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Maslinic Acid,"2alpha,3beta-Dihydroxyolean-12-en-28-oic acid",Active,Anti-inflammatory,0.05,0.2,1.0,Soothing; Anti-inflammatory; Antioxidant,NF-?B modulation,Sensitive Skin,5.0-7.0,Low solubility,Low,0.0,Safe,Limited,4-8 weeks,0.7,Centella Extract,,Emerging data,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,NF-?B modulation,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Beta-Sitosterol,"Phytosterol; (3S,8S,9S,10R,13R,14S,17R)-phytosterol derivative",Active,Barrier repair,0.1,0.5,2.0,Barrier Support; Plant sterol lipid support,Plant sterol lipid support,Barrier Repair,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Plant sterol lipid support,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Campesterol,(24R)-Ergost-5-en-3beta-ol,Active,Barrier repair,0.1,0.5,2.0,Barrier Support; Plant sterol action,Plant sterol action,Barrier Repair,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Plant sterol action,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Stigmasterol,"(3S,22E)-Stigmasta-5,22-dien-3-ol",Active,Barrier lipid,0.1,0.5,2.0,Barrier Support; Plant sterol integration,Plant sterol integration,Barrier Repair,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Plant sterol integration,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Ergosterol,"(22E)-Ergosta-5,7,22-trien-3beta-ol; Provitamin D2",Active,Barrier lipid precursor,0.05,0.2,1.0,Barrier Support; Sterol lipid role,Sterol lipid role,Barrier Repair,5.0-7.0,Light sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,,Moderate,8.0,4.0,Low,Skin Conditioning,Sterol lipid role,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Phytosterols,Plant sterol complex,Active,Barrier repair,0.1,1.0,3.0,Barrier Support; Lipid matrix reinforcement,Lipid matrix reinforcement,Barrier Repair,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.85,Ceramides; Cholesterol,,,Limited,0.4,0.34,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Lipid matrix reinforcement,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Squalene,"(6E,10E,14E,18E)-2,6,10,15,19,23-Hexamethyltetracosa-hexaene",Functional,Emollient,0.5,2.0,10.0,Skin softening; Hydration; Lipid replenishment,Lipid replenishment,Hydration,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,1-3 weeks,0.6,Antioxidants,,Oxidation risk,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Lipid replenishment,Both,Leave-on,,,,Short (1-4w),1-3 weeks,,Tier 3: Bioactive Base,0.5
Isostearyl Isostearate,Isostearic acid isostearyl ester,Functional,Emollient,1.0,5.0,15.0,Barrier Support; Hydration; Occlusive emolliency,Occlusive emolliency,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,2.0,Safe,Limited,2-4 weeks,0.55,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.22,,,,Moderate,6.0,4.0,Low,Emollient,Occlusive emolliency,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 4: Inert Functional,0.1
C12-15 Alkyl Benzoate,Alkyl benzoate ester,Functional,Emollient; UV solvent,1.0,5.0,15.0,Light emolliency; Hydration; Photoprotection; Ester spreading,Ester spreading,Hydration; UV Damage; Aging & Fine Lines,4.0-8.0,Highly stable,Low,2.0,Safe,Limited,N/A - Functional/Excipient,0.6,UV filters,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Ester spreading,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Diisopropyl Sebacate,Sebacate ester,Functional,Emollient,1.0,5.0,15.0,Silky feel; Hydration; Light ester emolliency,Light ester emolliency,Hydration,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.55,Silicones,,,Limited,0.4,0.22,,,,Moderate,6.0,4.0,Low,Emollient,Light ester emolliency,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Neopentyl Glycol Diheptanoate,Ester emollient,Functional,Emollient,1.0,5.0,15.0,Dry-touch emolliency; Hydration; Fast-spreading ester,Fast-spreading ester,Acne & Oily Skin; Hydration,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.6,Silicones,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Fast-spreading ester,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Dicaprylyl Carbonate,Carbonate ester,Functional,Light emollient,1.0,5.0,15.0,Dry-skin feel; Hydration; Fast spreading ester,Fast spreading ester,Acne & Oily Skin; Hydration,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.65,Silicones,,,Limited,0.4,0.26,,,,Moderate,6.0,4.0,Low,Emollient,Fast spreading ester,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Isoamyl Laurate,Laurate ester,Functional,Light emollient,1.0,5.0,15.0,Natural silicone feel; Hydration; Biodegradable ester,Biodegradable ester,Acne & Oily Skin; Hydration,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.6,Plant oils,,,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Biodegradable ester,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Coco-Caprylate/Caprate,Ester blend,Functional,Silicone alternative emollient,1.0,5.0,15.0,Silky slip; Hydration; Ester emolliency,Ester emolliency,Hydration,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.65,Plant oils,,,Limited,0.4,0.26,,,,Moderate,6.0,4.0,Low,Emollient,Ester emolliency,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Hydrogenated Polyisobutene,Synthetic oil,Functional,Emollient,1.0,5.0,20.0,Barrier Support; Hydration; Hydrocarbon emolliency,Hydrocarbon emolliency,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.6,Occlusives,,Petroleum perception,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Hydrocarbon emolliency,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polyisobutene,Isobutylene polymer; PIB,Functional,Emollient,1.0,5.0,20.0,Barrier Support; Hydration; Hydrocarbon occlusion,Hydrocarbon occlusion,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.6,Occlusives,,Petroleum perception,Limited,0.4,0.24,,,,Moderate,6.0,4.0,Low,Emollient,Hydrocarbon occlusion,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Mineral Oil,Paraffinum Liquidum,Functional,Occlusive emollient,5.0,30.0,100.0,Barrier Support; Hydration; TEWL reduction,TEWL reduction,Hydration; Barrier Repair,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,0.9,Humectants,,Consumer stigma,Limited,0.4,0.36,,,,Moderate,6.0,4.0,Low,Emollient,TEWL reduction,Oil,Leave-on,,,,Immediate,Immediate,,Tier 4: Inert Functional,0.1
Microcrystalline Wax,Cera Microcristallina,Functional,Occlusive,1.0,10.0,50.0,Barrier Support; Occlusive; Film formation,Film formation,Hydration; Barrier Repair,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.7,Petrolatum,,Heavy feel,Limited,0.4,0.28,,,,Moderate,6.0,4.0,Low,Occlusive,Film formation,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
