INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Papain,Papain enzyme,Active,Enzymatic exfoliant,0.1,0.5,1,Gentle exfoliation,Proteolytic keratolysis,Dullness;Texture,5.0-7.0,Heat sensitive,Medium,0.0,Safe,Limited,2-4 weeks,0.7,Urea,Strong acids,Irritation if overused,Limited,0.4,0.28,,,
Bromelain,Bromelain enzyme,Active,Enzymatic exfoliant,0.1,0.5,1,Skin smoothing,Protease activity,Sensitive exfoliation,5.0-7.0,Heat sensitive,Medium,0.0,Safe,Limited,2-4 weeks,0.7,Papain,Strong acids,Allergy risk,Limited,0.4,0.28,,,
Subtilisin,Protease enzyme,Active,Enzymatic exfoliant,0.05,0.2,0.5,Cell turnover,Protein hydrolysis,Dull skin,5.0-7.0,Heat sensitive,Medium,0.0,Safe,Limited,2-4 weeks,0.7,Humectants,Strong acids,Limited cosmetic use,Limited,0.4,0.28,,,
Lipase,Lipase enzyme,Active,Sebum modulation,0.01,0.05,0.2,Oil balance,Triglyceride breakdown,Oily skin,5.0-7.0,Heat sensitive,Low,0.0,Safe,Limited,4-6 weeks,0.65,Niacinamide,,Niche use,Limited,0.4,0.26,,,
Superoxide Dismutase,SOD,Active,Antioxidant enzyme,0.01,0.05,0.2,Oxidative defense,ROS dismutation,Photoaging,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Vitamin C;E,,Stability challenge,Moderate,0.7,0.595,,,
Catalase,Catalase,Active,Antioxidant enzyme,0.01,0.05,0.2,Peroxide neutralization,H₂O₂ breakdown,Oxidative stress,5.0-7.0,Heat sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.8,SOD,,Stability challenge,Moderate,0.7,0.5599999999999999,,,
Glucose Oxidase,Glucose oxidase,Active,Antimicrobial enzyme,0.01,0.05,0.2,Microbial control,H₂O₂ generation,Acne,5.0-7.0,Heat sensitive,Low,0.0,Safe,Limited,4-6 weeks,0.7,Preservatives,,Formulation complexity,Limited,0.4,0.28,,,
Lactoperoxidase,Lactoperoxidase,Active,Antimicrobial enzyme,0.01,0.05,0.2,Microbial balance,Peroxidase system,Acne,5.0-7.0,Heat sensitive,Low,0.0,Safe,Limited,4-6 weeks,0.7,Glucose Oxidase,,Niche systems,Limited,0.4,0.28,,,
Chlorella Vulgaris Extract,Chlorella extract,Active,Detox;Antioxidant,0.5,1,3,Pollution defense,Heavy metal chelation,Urban skin,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Antioxidants,,,Moderate,0.7,0.5249999999999999,,,
Spirulina Platensis Extract,Spirulina extract,Active,Antioxidant;Firming,0.5,1,3,Skin vitality,Phycocyanin antioxidants,Dull skin,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Niacinamide,,Color risk,Moderate,0.7,0.5249999999999999,,,
Haematococcus Pluvialis Extract,Astaxanthin source,Active,Antioxidant,0.05,0.2,0.5,Photoprotection,Carotenoid quenching,Photoaging,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.9,Vitamin E,,Color staining,Moderate,0.7,0.63,,,
Dunaliella Salina Extract,Beta-carotene algae,Active,Antioxidant,0.1,0.3,1,UV defense,Carotenoid activity,Photoaging,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Vitamin E,,Coloring,Moderate,0.7,0.5599999999999999,,,
Aloe Barbadensis Leaf Juice,Aloe vera juice,Functional,Soothing;Humectant,1,10,100,Calming,Polysaccharide hydration,Irritation,4.0-7.0,Microbial risk,Low,0.0,Safe,Limited,Immediate,0.6,Panthenol,,Preservation dependent,Limited,0.4,0.24,,,
Aloe Barbadensis Leaf Extract,Aloe extract,Active,Soothing,0.1,1,5,Redness reduction,Anti-inflammatory polysaccharides,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.7,Allantoin,,,Limited,0.4,0.28,,,
Calendula Officinalis Extract,Calendula extract,Active,Soothing;Repair,0.1,1,5,Calming,Triterpenoid anti-inflammatory,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Panthenol,,,Limited,0.4,0.3,,,
Chamomilla Recutita Extract,Chamomile extract,Active,Soothing,0.1,1,5,Anti-redness,Bisabolol activity,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Panthenol,,Asteraceae allergy,Limited,0.4,0.3,,,
Bisabolol,Alpha-bisabolol,Active,Soothing,0.1,0.5,2,Redness reduction,COX inhibition,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Centella Asiatica Leaf Water,Centella hydrosol,Functional,Soothing,5,20,100,Calming,Hydrosol actives,Sensitive skin,5.0-7.0,Microbial risk,Low,0.0,Safe,Limited,Immediate,0.4,Preservatives,,Needs preservation,Limited,0.4,0.16,,,
Glycyrrhiza Inflata Root Extract,Licorice flavonoid extract,Active,Brightening;Soothing,0.1,0.5,2,Redness & pigmentation reduction,Licochalcone A anti-inflammatory action,PIH;Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Niacinamide,,,Limited,0.4,0.34,,,
Scutellaria Baicalensis Root Extract,Baikal skullcap extract,Active,Antioxidant;Brightening,0.1,0.5,2,Tone evening,Baicalin flavonoids,Pigmentation;Aging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Vitamin C,,,Moderate,0.7,0.5599999999999999,,,
Morus Alba Root Extract,Mulberry root extract,Active,Brightening,0.1,0.5,2,Hyperpigmentation reduction,Tyrosinase inhibition,PIH;Melasma,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Tranexamic Acid,,,Limited,0.4,0.3200000000000001,,,
Arctostaphylos Uva-Ursi Leaf Extract,Bearberry extract,Active,Brightening,0.1,0.5,1,Pigment suppression,Arbutin content,PIH,5.0-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.75,Niacinamide,,Hydroquinone association myth,Limited,0.4,0.3,,,
Punica Granatum Extract,Pomegranate extract,Active,Antioxidant,0.1,0.5,2,Anti-aging,Ellagic acid polyphenols,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Vitamin C,,,Moderate,0.7,0.5599999999999999,,,
Camellia Sinensis Leaf Extract,Green tea extract,Active,Antioxidant;Soothing,0.1,1,5,Oil & redness control,EGCG polyphenols,Acne;Redness,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Caffeine,,Stability dependent,Moderate,0.7,0.595,,,
Vitis Vinifera Fruit Extract,Grape extract,Active,Antioxidant,0.1,0.5,2,Anti-aging,Resveratrol polyphenols,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Vitamin E,,,Moderate,0.7,0.5249999999999999,,,
Vaccinium Myrtillus Fruit Extract,Bilberry extract,Active,Antioxidant,0.1,0.5,2,Blue-light defense,Anthocyanins,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Vitamin C,,,Moderate,0.7,0.5249999999999999,,,
Rubus Idaeus Leaf Extract,Raspberry leaf extract,Active,Soothing,0.1,0.5,2,Calming,Flavonoid anti-inflammatory,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.7,Panthenol,,,Limited,0.4,0.28,,,
Cucumis Sativus Fruit Extract,Cucumber extract,Active,Soothing;Hydrating,0.5,2,5,Cooling hydration,Polysaccharides,Irritation,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Aloe,,,Limited,0.4,0.24,,,
Hamamelis Virginiana Leaf Extract,Witch hazel extract,Active,Astringent,0.1,1,5,Pore tightening,Tannins,Oily skin,4.5-6.5,Stable,Medium,1.0,Safe alcohol-free,Limited,2-4 weeks,0.6,Niacinamide,Strong acids,Alcohol base concern,Limited,0.4,0.24,,,
Salix Alba Bark Extract,Willow bark extract,Active,Anti-acne,0.1,0.5,2,Pore clearing,Salicylate derivatives,Acne,4.0-6.0,Stable,Low,1.0,Safe,Limited,4-6 weeks,0.75,Niacinamide,Retinoids,Salicylate sensitivity,Limited,0.4,0.3,,,
Rosmarinus Officinalis Leaf Extract,Rosemary extract,Active,Antioxidant,0.05,0.3,1,Skin protection,Rosmarinic acid,Photoaging,5.0-7.0,Stable,Low,1.0,Safe,Moderate,4-8 weeks,0.75,Vitamin E,,Fragrance allergen,Moderate,0.7,0.5249999999999999,,,
Lavandula Angustifolia Oil,Lavender oil,Functional,Fragrance;Soothing,0.01,0.1,0.5,Aromatherapy,Linalool content,Relaxation,4.5-7.0,Oxidation sensitive,Medium,2.0,Avoid sensitive skin,Limited,—,0.2,,Retinoids,Fragrance allergen,Limited,0.4,0.08000000000000002,,,
Pelargonium Graveolens Oil,Geranium oil,Functional,Fragrance,0.01,0.1,0.5,Scent,Terpenoid fragrance,Cosmetic only,4.5-7.0,Oxidation sensitive,Medium,2.0,Avoid sensitive skin,Limited,—,0.2,,Retinoids,Fragrance allergen,Limited,0.4,0.08000000000000002,,,
Limonene,Limonene,Functional,Fragrance allergen,0.001,0.01,0.1,Scent,Terpene oxidation,Fragrance only,4.0-8.0,Oxidizes,High,2.0,Avoid sensitive skin,Limited,—,0.05,,,High sensitization,Limited,0.4,0.02,,,
Linalool,Linalool,Functional,Fragrance allergen,0.001,0.01,0.1,Scent,Terpene oxidation,Fragrance only,4.0-8.0,Oxidizes,High,2.0,Avoid sensitive skin,Limited,—,0.05,,,High sensitization,Limited,0.4,0.02,,,
Citral,Citral,Functional,Fragrance allergen,0.001,0.01,0.1,Scent,Aldehyde fragrance,Fragrance only,4.0-8.0,Unstable,High,2.0,Avoid sensitive skin,Limited,—,0.05,,,High sensitization,Limited,0.4,0.02,,,
Geraniol,Geraniol,Functional,Fragrance allergen,0.001,0.01,0.1,Scent,Terpenoid fragrance,Fragrance only,4.0-8.0,Oxidizes,High,2.0,Avoid sensitive skin,Limited,—,0.05,,,High sensitization,Limited,0.4,0.02,,,
CI 77491,Iron Oxides (Red),Functional,Colorant,0.1,1,10,Color correction,Inorganic pigment,Cosmetic color,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.05,CI 77492,,Cosmetic-only,Limited,0.4,0.02,,,
CI 77492,Iron Oxides (Yellow),Functional,Colorant,0.1,1,10,Color balancing,Inorganic pigment,Cosmetic color,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.05,CI 77491,,Cosmetic-only,Limited,0.4,0.02,,,
CI 77499,Iron Oxides (Black),Functional,Colorant,0.1,1,10,Pigmentation,Inorganic pigment,Cosmetic color,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.05,Iron Oxides,,Cosmetic-only,Limited,0.4,0.02,,,
CI 77891,Titanium Dioxide pigment,Functional,Colorant;Opacifier,1,5,25,Opacity,Light scattering,Cosmetic coverage,3.0-10.0,Photostable,Low,1.0,Safe topical,Limited,—,0.1,Iron Oxides,,Nano concern inhalation,Limited,0.4,0.04000000000000001,,,
CI 77007,Ultramarines,Functional,Colorant,0.1,1,10,Blue pigment,Aluminosilicate,Cosmetic color,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.05,Iron Oxides,,Cosmetic-only,Limited,0.4,0.02,,,
CI 77288,Chromium Oxide Green,Functional,Colorant,0.1,1,10,Green pigment,Chromium oxide,Cosmetic color,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.05,Iron Oxides,,Cosmetic-only,Limited,0.4,0.02,,,
CI 77742,Manganese Violet,Functional,Colorant,0.1,1,10,Violet pigment,Manganese ammonium phosphate,Cosmetic color,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.05,Iron Oxides,,Cosmetic-only,Limited,0.4,0.02,,,
CI 42090,Blue 1,Functional,Colorant,0.001,0.01,0.1,Coloring,Synthetic dye,Cosmetic color,3.0-10.0,Stable,Medium,1.0,Restricted regions,Limited,—,0.02,,,Allergen concern,Limited,0.4,0.008,,,
CI 19140,Yellow 5,Functional,Colorant,0.001,0.01,0.1,Coloring,Synthetic dye,Cosmetic color,3.0-10.0,Stable,Medium,1.0,Restricted regions,Limited,—,0.02,,,Allergen concern,Limited,0.4,0.008,,,
CI 16035,Red 40,Functional,Colorant,0.001,0.01,0.1,Coloring,Synthetic dye,Cosmetic color,3.0-10.0,Stable,Medium,1.0,Restricted regions,Limited,—,0.02,,,Allergen concern,Limited,0.4,0.008,,,
Cyclohexasiloxane,D6 silicone,Functional,Volatile silicone,1,10,50,Silky feel,Evaporative slip,All skin types,3.0-10.0,Extremely stable,Low,1.0,Restricted regions,Limited,—,0.6,Dimethicone,,Environmental scrutiny,Limited,0.4,0.24,,,
Dimethiconol,Silicone polymer,Functional,Film former,0.5,3,15,Long-lasting slip,Silicone film,Hair;Skin,3.0-10.0,Extremely stable,Low,1.0,Safe,Limited,—,0.65,Dimethicone,,Build-up perception,Limited,0.4,0.26,,,
Ethanol,Alcohol Denat.,Functional,Solvent,1,10,90,Solubilization,Protein denaturation,Formula delivery,3.0-10.0,Extremely stable,Medium,0.0,Safe limits,Limited,Immediate,0.4,Propylene Glycol,Barrier products,Barrier disruption risk,Limited,0.4,0.16,,,
Isopropyl Alcohol,Isopropanol,Functional,Solvent,1,10,70,Solvent,Protein denaturation,Disinfection,3.0-10.0,Extremely stable,High,3.0,Avoid leave-on,Limited,Immediate,0.2,,Sensitive skin,High irritation,Limited,0.4,0.08000000000000002,,,
Dipropylene Glycol,Dipropylene glycol,Functional,Solvent,1,5,20,Solubilization,Carrier solvent,Formula delivery,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.5,Fragrance,,,Limited,0.4,0.2,,,
Trisodium EDTA,Chelating agent,Functional,Chelator,0.05,0.2,0.5,Formula stability,Metal ion sequestration,Preservation support,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.3,Preservatives,,Environmental concern,Limited,0.4,0.12,,,
Sodium Phytate,Plant chelator,Functional,Chelator,0.05,0.2,0.5,Natural chelation,Metal binding,Preservation support,3.0-10.0,Stable,Low,0.0,Safe,Limited,—,0.35,Preservatives,,,Limited,0.4,0.14,,,
Lactic Acid,Lactic acid,Active,AHA;Humectant,2,5,10,Exfoliation;Hydration,Keratolysis;NMF support,Texture;Dryness,3.0-4.5,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.75,Urea,Retinoids,Irritation risk,Limited,0.4,0.3,,,
Sodium Hydroxide,Caustic soda,Functional,pH adjuster,0.01,0.1,1,pH neutralization,Strong base,Formula pH,—,Highly stable,High,0.0,Safe at trace,Limited,—,0.05,Citric Acid,,Caustic if misused,Limited,0.4,0.02,,,
Potassium Hydroxide,KOH,Functional,pH adjuster,0.01,0.1,1,pH neutralization,Strong base,Formula pH,—,Highly stable,High,0.0,Safe at trace,Limited,—,0.05,Citric Acid,,Caustic if misused,Limited,0.4,0.02,,,
Tromethamine,Triethanolamine alternative,Functional,Buffer,0.1,0.5,2,pH stabilization,Amine buffer,Formula stability,6.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.2,Carbomer,,,Limited,0.4,0.08000000000000002,,,
Aminomethyl Propanol,AMP,Functional,pH adjuster,0.1,0.5,2,Neutralization,Amine buffer,Formula stability,6.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.2,Carbomer,,,Limited,0.4,0.08000000000000002,,,
Sodium Polyacrylate,Polyacrylate,Functional,Thickener,0.2,1,5,Viscosity,Water absorption,Texture,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.35,Glycerin,,,Limited,0.4,0.14,,,
Polyacrylate Crosspolymer-6,Acrylate polymer,Functional,Gel former,0.1,0.5,2,Clear gels,Polymer network,Serums,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.4,Electrolytes,,,Limited,0.4,0.16,,,
Chlorphenesin,Chlorphenesin,Functional,Preservative,0.1,0.3,0.5,Preservation,Protein synthesis inhibition,Product safety,4.0-7.0,Stable,Low,1.0,Safe limits,Limited,—,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,
Polydeoxyribonucleotide Sodium,PDRN sodium salt,Active,Regenerative,0.1,0.5,2,Tissue repair,A2A receptor activation,Post-acne;Aging,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Peptides,Strong acids,Medical-origin bias,Limited,0.4,0.36,,,
Salmon DNA Fragment,Marine DNA fragments,Active,Repair;Hydration,0.05,0.2,1,Skin regeneration,Cell signaling,Barrier damage,6.0-7.5,Heat sensitive,Low,0.0,Safe topical,Limited,4-8 weeks,0.85,Peptides,Acids,Premium pricing,Limited,0.4,0.34,,,
Exosome-like Vesicles,Plant-derived exosomes,Active,Cell communication,0.01,0.05,0.2,Regeneration,Paracrine signaling,Aging,6.0-7.5,Highly sensitive,Low,0.0,Avoid pregnancy caution,Limited,6-12 weeks,0.9,Growth factors,Acids,Regulatory gray zone,Limited,0.4,0.36,,,
Stem Cell Conditioned Media,Plant stem cell media,Active,Repair;Antioxidant,0.05,0.2,1,Skin resilience,Growth factor remnants,Aging,5.0-7.0,Unstable,Low,0.0,Safe topical,Moderate,6-10 weeks,0.75,Peptides,,Marketing misuse,Moderate,0.7,0.5249999999999999,,,
Bakuchiol Analog (Babchi Synth),Synthetic bakuchiol,Active,Anti-aging,0.3,1,2,Wrinkle reduction,RAR pathway modulation,Aging,5.0-7.0,Stable,Low,0.0,Avoid pregnancy caution,Limited,8-12 weeks,0.8,Niacinamide,,“Retinol-like” claims,Limited,0.4,0.3200000000000001,,,
Retinyl Retinoate Encapsulated,Encapsulated RR,Active,Anti-aging,0.03,0.1,0.3,Wrinkle smoothing,Dual retinoid delivery,Aging,5.5-6.5,Light sensitive,Medium,1.0,Avoid pregnancy,Limited,8-12 weeks,0.9,Ceramides,BPO,Irritation risk,Limited,0.4,0.36,,,
Hydroxyectoin,Hydroxyectoin,Active,Advanced barrier repair,0.3,1,2,Stress protection,Protein stabilization,Sensitive skin,5.0-7.0,Highly stable,Low,0.0,Safe,Limited,2-4 weeks,0.9,Ectoin,,Premium cost,Limited,0.4,0.36,,,
Trehalose Liposomes,Encapsulated trehalose,Active,Hydration,0.5,2,5,Long-term moisture,Controlled release,Dehydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Ceramides,,Encapsulation cost,Limited,0.4,0.3,,,
Niacinamide Microcapsules,Encapsulated B3,Active,Barrier repair,1,3,5,Reduced irritation,Controlled release,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Ceramides,Strong acids,Delivery premium,Limited,0.4,0.3200000000000001,,,
Tranexamic Acid Liposome,Encapsulated TXA,Active,Brightening,1,3,5,Melasma control,Plasmin inhibition,Melasma,5.5-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Niacinamide,,Cost markup,Limited,0.4,0.34,,,
Fermented Ceramide NP,Bio-fermented ceramide,Active,Barrier repair,0.05,0.2,1,Barrier restoration,SC lipid mimicry,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.9,Cholesterol,,,Limited,0.4,0.36,,,
Postbiotic Peptide Complex,Ferment-derived peptides,Active,Soothing;Repair,0.1,0.5,2,Barrier calming,Microbiome signaling,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,Emerging science,Limited,0.4,0.3200000000000001,,,
Water,Aqua,Filler,Solvent,,,,Vehicle,Solvent,All,3.0-10.0,Stable,Low,0.0,Safe,Limited,Immediate,0.1,,,,Limited,0.4,0.04000000000000001,,,
Isododecane,Isododecane,Functional,Emollient solvent,1.0,5,20,Light emolliency,Volatile hydrocarbon,Oily skin,3.0-10.0,Stable,Low,1.0,Safe,Limited,Immediate,0.4,Silicones,,,Limited,0.4,0.16,,,
Fragrance,Parfum,Functional,Sensory,0.01,0.1,1,Scent,Olfactory masking,Cosmetic,3.0-10.0,Variable,High,3.0,Avoid sensitive skin,Limited,Immediate,0.1,,,Sensitive-skin red flag,Limited,0.4,0.04000000000000001,,,
BHT,Butylated Hydroxytoluene,Functional,Antioxidant,0.01,0.05,0.1,Formula protection,Radical scavenger,Product stability,4.0-8.0,Stable,Low,1.0,Restricted regions,Moderate,—,0.3,BHA,,Controversial perception,Moderate,0.7,0.21,,,
BHA,Butylated Hydroxyanisole,Functional,Antioxidant,0.01,0.05,0.1,Formula protection,Radical scavenger,Product stability,4.0-8.0,Stable,Low,1.0,Restricted regions,Moderate,—,0.3,BHT,,Controversial perception,Moderate,0.7,0.21,,,
Menthol,Menthol,Active,Cooling agent,0.05,0.2,1,Cooling sensation,TRPM8 activation,Cosmetic,4.0-8.0,Volatile,High,1.0,Avoid sensitive skin,Limited,Immediate,0.2,,,Irritation risk,Limited,0.4,0.08000000000000002,,,
Camphor,Camphor,Active,Cooling agent,0.05,0.2,1,Cooling sensation,Neural stimulation,Cosmetic,4.0-8.0,Volatile,High,2.0,Avoid children,Limited,Immediate,0.2,,,Irritation risk,Limited,0.4,0.08000000000000002,,,
Alcohol Denat,Denatured Alcohol,Functional,Solvent,1.0,10,60,Fast penetration,Evaporation,Oily skin,3.0-10.0,Volatile,High,2.0,Avoid barrier-damaged skin,Limited,Immediate,0.15,,,Barrier damage risk,Limited,0.4,0.06,,,
Isopropyl Myristate,IPM,Functional,Emollient,0.5,3,10,Slip;emolliency,Lipid lubrication,Dry skin,4.0-8.0,Stable,Medium,5.0,Avoid acne-prone,Limited,Immediate,0.4,,,Highly comedogenic,Limited,0.4,0.16,,,
Caprylic Acid,Octanoic acid,Functional,Emollient,0.2,1,5,Skin softening,Fatty acid occlusion,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,1-2 weeks,0.6,Capric Acid,,,Limited,0.4,0.24,,,
Capric Acid,Decanoic acid,Functional,Emollient,0.2,1,5,Barrier support,Fatty acid occlusion,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,1-2 weeks,0.6,Caprylic Acid,,,Limited,0.4,0.24,,,
Retinol,Vitamin A,Active,Active,0.01-1.0%,0.005,,Anti-aging,RAR/RXR Binding,Anti-aging,4.0-6.6,,,,Pregnancy Flag,Strong,12-24 weeks,0.95,Ferulic Acid,Benzoyl Peroxide,,Strong,1.0,0.95,,,
L-Ascorbic Acid,Vitamin C,Active,Active,10.0-20.0%,0.15,,Brightening,Tyrosinase Inhib,Brightening,< 3.5,,,,Oxidizes Fast,Strong,4-8 weeks,0.9,Vitamin E,High pH Actives,,Strong,1.0,0.9,,,
Niacinamide,Vitamin B3,Active,Active,2.0-10.0%,0.05,,Barrier,Ceramide Synth,Barrier,5.0-7.0,,,,Flushing at low pH,Strong,2-4 weeks,0.9,Zinc PCA,,,Strong,1.0,0.9,,,Primary Melanin Suppressor
Salicylic Acid,BHA,Active,Active,0.5-2.0%,0.02,,Acne,Lipophilic Exfol,Acne,3.0-4.0,,,,Aspirin Allergy,Strong,1-3 days,0.85,Niacinamide,Strong AHAs,,Strong,1.0,0.85,,,
Hyaluronic Acid,HA,Humectant,Humectant,0.1-2.0%,0.01,,Hydration,Hygroscopic,Hydration,4.5-7.5,,,,Low molecular risk,Strong,Immediate,0.75,Panthenol,,,Strong,1.0,0.75,,,
Glycolic Acid,AHA,Active,Active,5.0-12.0%,0.08,,Exfoliation,Ionic Bond Break,Exfoliation,3.2-3.9,,,,Photosensitivity,Strong,1-2 weeks,0.8,Lactic Acid,Retinoids,,Strong,1.0,0.8,,,
Ceramide NP,Ceramide 3,Barrier,Barrier,0.01-1.0%,0.002,,Repair,Lipid Layering,Repair,5.0-7.0,,,,Essential Lipid,Strong,4 weeks,0.9,Cholesterol,,,Strong,1.0,0.9,,,
Panthenol,Pro-Vit B5,Humectant,Humectant,1.0-5.0%,0.02,,Soothing,Fibroblast Prolif,Soothing,4.0-7.0,,,,Very Safe,Strong,Immediate,0.7,Niacinamide,,,Strong,1.0,0.7,,,
Azelaic Acid,Dicarboxy Acid,Active,Active,5.0-20.0%,0.1,,Redness,Antimicrobial,Redness,4.0-5.0,,,,Rosacea Target,Strong,4-12 weeks,0.8,Niacinamide,Strong AHAs,,Strong,1.0,0.8,,,Primary Melanin Suppressor
Matrixyl 3000,Peptide Mix,Active,Active,1.0-5.0%,0.03,,Firming,Matrikine Signal,Firming,5.0-7.0,,,,Anti-wrinkle,Strong,8-12 weeks,,HA,Strong Acids,,Strong,1.0,,,,
Argireline,Hexapeptide-8,Active,Active,3.0-10.0%,0.05,,Expression,Neurotransmit,Expression,5.0-7.0,,,,Botox-like,Moderate,4 weeks,,HA,,,Moderate,0.7,,,,
Centella Asiatica,Cica,Active,Active,1.0-10.0%,0.05,,Soothing,Triterpene,Soothing,5.0-7.0,,,,Barrier Support,Strong,1 week,0.75,Ceramides,,,Strong,1.0,0.75,,,
Ethylhexylglyc.,EHG,Functional,Functional,0.1-1.0%,0.005,,Preserv,Antimicrobial,Preserv,3.0-12.0,,,,Contact Allergy,Strong,,,Phenoxyethanol,,,Strong,1.0,,,,
Fermented Oil,Biotech Oil,Emollient,Emollient,1.0-5.0%,0.02,,Absorption,Lipase Process,Absorption,,,,,2026 Trend,Moderate,1 week,,Prebiotics,,,Moderate,0.7,,,,
Exosomes,Vesicles,Active,Active,0.001-0.1%,0.0001,,Regenerat,mRNA Signal,Regenerat,6.0-7.5,,,,2026 Innovation,Strong,4-8 weeks,,Peptides,Strong Acids,,Strong,1.0,,,,
Senolytic Pep,Zombie Cell,Active,Active,0.1-3.0%,0.01,,Youth,Apoptosis Reg,Youth,5.0-6.0,,,,2026 Innov (E),Strong,12 weeks,,Resveratrol,,,Strong,1.0,,,,
Licorice Root,Glycyrrhiza,Active,Active,0.5-2.0%,0.01,,Soothing,Tyrosinase Inh,Soothing,5.0-7.0,,,,Natural,Strong,4 weeks,,Vitamin C,,,Strong,1.0,,,,
Polyglutamic Ac.,PGA,Humectant,Humectant,0.1-1.0%,0.002,,Hydration,Film Former,Hydration,4.0-6.0,,,,High Moisture,Strong,Immediate,,HA,,,Strong,1.0,,,,
Thiotic Acid,Alpha Lipoic,Antioxidant,Antioxidant,0.1-1.0%,0.005,,Repair,Metabolic,Repair,3.5-5.0,,,,Universal Sol,Strong,4 weeks,,Vitamin C,,,Strong,1.0,,,,
Retinaldehyde,Retinal,Active,Active,0.01-0.1%,0.0005,,Anti-aging,One-step ATRA,Anti-aging,6.0-7.0,,,,Faster Retinol,Strong,8-12 weeks,,HA,AHA/BHA,,Strong,1.0,,,,
HPR,Granactive,Active,Active,0.1-2.0%,0.01,,Anti-aging,Direct Bind,Anti-aging,5.0-6.5,,,,Low Irritation,Strong,12 weeks,,Squalane,Benzoyl Perox,,Strong,1.0,,,,
