INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk
Benzyl Alcohol,Benzyl alcohol,Functional,Preservative;Solvent,0.5,1,1,Preservation; Preservative; Solvent; Protein denaturation,Protein denaturation,,4.0-8.0,Stable,Medium,1,Restricted,Limited,?,0.2,Dehydroacetic Acid,Sensitive skin,Allergen risk,Limited,0.4,0.08,,,,Moderate,2,4,Medium
Potassium Benzoate,Benzoic acid potassium salt,Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; pH-dependent antimicrobial,pH-dependent antimicrobial,,4.5-5.5,pH dependent,Low,0,Safe,Limited,?,0.25,Sodium Benzoate,High pH formulas,,Limited,0.4,0.1,,,,Moderate,2,4,Low
Sodium Dehydroacetate,Dehydroacetic acid sodium salt,Functional,Preservative,0.3,0.6,1,Preservation; Preservative; Fungal inhibition,Fungal inhibition,,4.0-6.0,Stable,Low,0,Safe limits,Limited,?,0.3,Benzyl Alcohol,High pH formulas,,Limited,0.4,0.12,,,,Moderate,2,4,Low
Undecylenoyl Glycine,Sebum regulator,Active,Anti-acne,0.5,2,5,Oil Control; Anti-acne,Sebum normalization,Acne & Oily Skin,5.0-7.0,Stable,Low,0,Safe,Limited,4-6 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Oleanolic Acid,Oleanolic acid,Active,Sebum regulation,0.1,0.3,1,Oil Control; Anti-acne; 5a-reductase inhibition,5a-reductase inhibition,Acne & Oily Skin,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,Low
Nordihydroguaiaretic Acid,NDGA,Active,Antioxidant,0.05,0.1,0.3,Soothing; Antioxidant; Lipoxygenase inhibition,Lipoxygenase inhibition,Redness; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Medium,1,Restricted use,Moderate,4-8 weeks,0.6,Vitamin E,,Safety scrutiny,Moderate,0.7,0.42,,,,Moderate,5,6,Medium
Apigenin,Apigenin,Active,Soothing;Antioxidant,0.05,0.2,1,Soothing; Antioxidant,NF-?B inhibition,Sensitive Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Moderate,2-4 weeks,0.75,Niacinamide,,,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5,6,Low
Quercetin,Quercetin,Active,Antioxidant,0.05,0.2,1,Anti-aging; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Oxidation sensitive,Low,0,Safe,Moderate,4-8 weeks,0.8,Vitamin C,,Stability dependent,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5,6,Low
Rutin,Rutin,Active,Capillary support,0.1,0.5,2,Soothing; Capillary support; Vascular strengthening,Vascular strengthening,Redness,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,Vitamin C,,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Ellagic Acid,Ellagic acid,Active,Brightening;Antioxidant,0.05,0.2,1,Brightening; Antioxidant; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,4.5-6.5,Light sensitive,Low,0,Safe,Moderate,6-10 weeks,0.8,Vitamin C,,Low solubility,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5,6,Low
Feruloyl Soy Glycerides,Feruloyl soy glycerides,Active,Antioxidant,0.5,1,3,Photoprotection; Antioxidant; Ferulic derivative action,Ferulic derivative action,Aging & Fine Lines; UV Damage,4.0-7.0,Stable,Low,0,Safe,Moderate,4-8 weeks,0.7,Vitamin C derivatives,,Limited adoption,Moderate,0.7,0.4899999999999999,,,,Moderate,5,6,Low
Syringic Acid,Syringic acid,Active,Antioxidant,0.05,0.2,1,Anti-aging; Antioxidant; Phenolic scavenging,Phenolic scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0,Safe,Moderate,4-8 weeks,0.7,Ferulic Acid,,Emerging data,Moderate,0.7,0.4899999999999999,,,,Moderate,5,6,Low
Vanillic Acid,Vanillic acid,Active,Antioxidant,0.05,0.2,1,Skin protection; Antioxidant,Phenolic antioxidant,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0,Safe,Moderate,4-8 weeks,0.65,Vitamin E,,Emerging data,Moderate,0.7,0.455,,,,Moderate,5,6,Low
Sinapic Acid,Sinapic acid,Active,Antioxidant,0.05,0.2,1,Photoprotection; Antioxidant; Phenolic radical scavenging,Phenolic radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0,Safe,Moderate,4-8 weeks,0.7,Ferulic Acid,,Emerging data,Moderate,0.7,0.4899999999999999,,,,Moderate,5,6,Low
Caffeic Acid,Caffeic acid,Active,Antioxidant,0.05,0.2,1,Photoprotection; Antioxidant; ROS scavenging,ROS scavenging,Aging & Fine Lines; UV Damage,4.5-6.5,Light sensitive,Low,0,Safe,Moderate,4-8 weeks,0.7,Vitamin C,,Stability dependent,Moderate,0.7,0.4899999999999999,,,,Moderate,5,6,Low
Chlorogenic Acid,Chlorogenic acid,Active,Antioxidant,0.05,0.2,1,Anti-aging; Antioxidant,Polyphenol antioxidant,Aging & Fine Lines; UV Damage,4.5-6.5,Light sensitive,Low,0,Safe,Moderate,4-8 weeks,0.7,Caffeine,,,Moderate,0.7,0.4899999999999999,,,,Moderate,5,6,Low
Rosmarinic Acid,Rosmarinic acid,Active,Soothing;Antioxidant,0.05,0.3,1,Soothing; Antioxidant,Anti-inflammatory polyphenol,Sensitive Skin; Redness; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Moderate,2-4 weeks,0.8,Centella Extract,,,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5,6,Low
Ursolic Acid,Ursolic acid,Active,Anti-aging,0.05,0.2,1,Anti-aging; Collagen synthesis stimulation,Collagen synthesis stimulation,Aging & Fine Lines,5.0-7.0,Low solubility,Medium,1,Safe,Limited,6-10 weeks,0.75,Niacinamide,,Formulation difficulty,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Medium
Maslinic Acid,Maslinic acid,Active,Anti-inflammatory,0.05,0.2,1,Soothing,NF-?B modulation,Sensitive Skin,5.0-7.0,Low solubility,Low,0,Safe,Limited,4-8 weeks,0.7,Centella Extract,,Emerging data,Limited,0.4,0.28,,,,Moderate,4,4,Low
Beta-Sitosterol,Beta-sitosterol,Active,Barrier repair,0.1,0.5,2,Barrier Support; Plant sterol lipid support,Plant sterol lipid support,Barrier Repair,5.0-7.0,Stable,Low,1,Safe,Limited,4-8 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,8,4,Low
Campesterol,Campesterol,Active,Barrier support,0.1,0.5,2,Barrier Support; Plant sterol action,Plant sterol action,Barrier Repair,5.0-7.0,Stable,Low,1,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence,8,4,Low
Stigmasterol,Stigmasterol,Active,Barrier lipid,0.1,0.5,2,Barrier Support; Plant sterol integration,Plant sterol integration,Barrier Repair,5.0-7.0,Stable,Low,1,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence,8,4,Low
Ergosterol,Ergosterol,Active,Barrier lipid precursor,0.05,0.2,1,Barrier Support; Sterol lipid role,Sterol lipid role,Barrier Repair,5.0-7.0,Light sensitive,Low,1,Safe,Limited,4-8 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,,Moderate,8,4,Low
Phytosterols,Plant sterol complex,Active,Barrier repair,0.1,1,3,Barrier Support; Lipid matrix reinforcement,Lipid matrix reinforcement,Barrier Repair,5.0-7.0,Stable,Low,1,Safe,Limited,4-8 weeks,0.85,Ceramides;Cholesterol,,,Limited,0.4,0.34,,,,Limited clinical evidence,8,4,Low
Squalene,Squalene,Functional,Emollient,0.5,2,10,Skin softening; Hydration; Lipid replenishment,Lipid replenishment,Hydration,4.0-8.0,Oxidation sensitive,Low,1,Safe,Limited,1-3 weeks,0.6,Antioxidants,,Oxidation risk,Limited,0.4,0.24,,,,Moderate,6,4,Low
Isostearyl Isostearate,Isostearyl isostearate,Functional,Emollient,1,5,15,Barrier Support; Hydration; Occlusive emolliency,Occlusive emolliency,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,2,Safe,Limited,2-4 weeks,0.55,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.22,,,,Moderate,6,4,Low
C12-15 Alkyl Benzoate,Alkyl benzoate ester,Functional,Emollient;UV solvent,1,5,15,Light emolliency; Hydration; Photoprotection; Ester spreading,Ester spreading,Hydration; UV Damage; Aging & Fine Lines,4.0-8.0,Highly stable,Low,2,Safe,Limited,?,0.6,UV filters,,,Limited,0.4,0.24,,,,Moderate,6,4,Low
Diisopropyl Sebacate,Sebacate ester,Functional,Emollient,1,5,15,Silky feel; Hydration; Light ester emolliency,Light ester emolliency,Hydration,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.55,Silicones,,,Limited,0.4,0.22,,,,Moderate,6,4,Low
Neopentyl Glycol Diheptanoate,Ester emollient,Functional,Emollient,1,5,15,Dry-touch emolliency; Hydration; Fast-spreading ester,Fast-spreading ester,Acne & Oily Skin; Hydration,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.6,Silicones,,,Limited,0.4,0.24,,,,Moderate,6,4,Low
Dicaprylyl Carbonate,Carbonate ester,Functional,Light emollient,1,5,15,Dry-skin feel; Hydration; Fast spreading ester,Fast spreading ester,Acne & Oily Skin; Hydration,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.65,Silicones,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Isoamyl Laurate,Laurate ester,Functional,Light emollient,1,5,15,Natural silicone feel; Hydration; Biodegradable ester,Biodegradable ester,Acne & Oily Skin; Hydration,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.6,Plant oils,,,Limited,0.4,0.24,,,,Moderate,6,4,Low
Coco-Caprylate/Caprate,Ester blend,Functional,Silicone alternative emollient,1,5,15,Silky slip; Hydration; Ester emolliency,Ester emolliency,Hydration,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.65,Plant oils,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Hydrogenated Polyisobutene,Synthetic oil,Functional,Emollient,1,5,20,Barrier Support; Hydration; Hydrocarbon emolliency,Hydrocarbon emolliency,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.6,Occlusives,,Petroleum perception,Limited,0.4,0.24,,,,Moderate,6,4,Low
Polyisobutene,Polyisobutene,Functional,Emollient,1,5,20,Barrier Support; Hydration; Hydrocarbon occlusion,Hydrocarbon occlusion,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,1,Safe,Limited,?,0.6,Occlusives,,Petroleum perception,Limited,0.4,0.24,,,,Moderate,6,4,Low
Mineral Oil,Paraffinum Liquidum,Functional,Occlusive emollient,5,30,100,Barrier Support; Hydration; TEWL reduction,TEWL reduction,Hydration; Barrier Repair,3.0-10.0,Extremely stable,Low,0,Safe cosmetic grade,Limited,Immediate,0.9,Humectants,,Consumer stigma,Limited,0.4,0.36,,,,Moderate,6,4,Low
Microcrystalline Wax,Cera Microcristallina,Functional,Occlusive,1,10,50,Barrier Support; Occlusive; Film formation,Film formation,Hydration; Barrier Repair,3.0-10.0,Extremely stable,Low,0,Safe,Limited,?,0.7,Petrolatum,,Heavy feel,Limited,0.4,0.28,,,,Moderate,6,4,Low
Ceresin,Ceresin wax,Functional,Structurant;Occlusive,1,5,20,Exfoliation / Texture; Structurant; Occlusive; Wax structuring,Wax structuring,Uneven Texture,3.0-10.0,Extremely stable,Low,0,Safe,Limited,?,0.65,Waxes,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Ozokerite,Ozokerite wax,Functional,Structurant;Occlusive,1,5,20,Exfoliation / Texture; Structurant; Occlusive; Wax network,Wax network,Uneven Texture,3.0-10.0,Extremely stable,Low,0,Safe,Limited,?,0.65,Waxes,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Beeswax,Cera Alba,Functional,Occlusive;Structurant,1,5,20,Barrier Support; Occlusive; Structurant; Film formation,Film formation,Hydration; Barrier Repair,3.0-10.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.6,Oils,,Heavy feel,Limited,0.4,0.24,,,,Moderate,6,4,Low
Candelilla Wax,Euphorbia Cerifera Wax,Functional,Structurant,1,5,20,Exfoliation / Texture; Structurant; Wax film,Wax film,Uneven Texture,3.0-10.0,Stable,Low,1,Safe,Limited,?,0.6,Oils,,,Limited,0.4,0.24,,,,Moderate,4,4,Low
Carnauba Wax,Copernicia Cerifera Wax,Functional,Structurant,0.5,3,15,Hardness; Structurant; High-melting wax,High-melting wax,,3.0-10.0,Stable,Low,1,Safe,Limited,?,0.55,Waxes,,Brittle feel,Limited,0.4,0.22,,,,Moderate,4,4,Low
Hydrogenated Vegetable Oil,Hydrogenated plant oil,Functional,Occlusive,1,5,20,Barrier Support; Occlusive; Hydrogenated lipids,Hydrogenated lipids,Hydration; Barrier Repair,4.0-8.0,Highly stable,Low,2,Safe,Limited,?,0.6,Plant oils,,Comedogenic risk,Limited,0.4,0.24,,,,Moderate,6,4,Low
Shea Olein,Butyrospermum Parkii Oil,Functional,Emollient,1,5,20,Barrier Support; Hydration; Triglyceride lipid replenishment,Triglyceride lipid replenishment,Hydration; Barrier Repair,4.0-8.0,Oxidation sensitive,Low,2,Safe,Limited,2-4 weeks,0.6,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,,Moderate,6,4,Low
Jojoba Oil,Simmondsia Chinensis Seed Oil,Functional,Emollient;Sebum-mimetic,1,5,20,Barrier Support; Hydration; Anti-acne; Wax ester mimicry,Wax ester mimicry,Hydration; Barrier Repair; Acne & Oily Skin,4.0-8.0,Highly stable,Low,1,Safe,Limited,2-4 weeks,0.7,Niacinamide,,,Limited,0.4,0.28,,,,Moderate,6,4,Low
Argan Oil,Argania Spinosa Kernel Oil,Functional,Emollient;Antioxidant,1,5,20,Barrier Support; Hydration; Antioxidant; Tocopherol content,Tocopherol content,Hydration; Barrier Repair; UV Damage; Aging & Fine Lines,4.0-8.0,Oxidation sensitive,Low,1,Safe,Moderate,2-4 weeks,0.65,Vitamin E,,Oxidation risk,Moderate,0.7,0.455,,,,Moderate,6,6,Low
Sunflower Seed Oil,Helianthus Annuus Seed Oil,Functional,Barrier repair oil,1,5,20,Barrier Support; Linoleic acid supply,Linoleic acid supply,Barrier Repair,4.0-8.0,Oxidation sensitive,Low,0,Safe,Limited,2-4 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,,Moderate,8,4,Low
Safflower Oil,Carthamus Tinctorius Seed Oil,Functional,Emollient,1,5,20,Barrier Support; Hydration; Linoleic-rich oil,Linoleic-rich oil,Barrier Repair; Acne & Oily Skin; Hydration,4.0-8.0,Oxidation sensitive,Low,0,Safe,Limited,2-4 weeks,0.7,Niacinamide,,,Limited,0.4,0.28,,,,Moderate,6,4,Low
Rosehip Seed Oil,Rosa Canina Seed Oil,Functional,Regenerative oil,0.5,3,15,Scar support; Regenerative oil; Trans-retinoic acid traces,Trans-retinoic acid traces,Acne & Oily Skin,4.0-8.0,Highly oxidation sensitive,Low,1,Avoid pregnancy caution,Limited,4-8 weeks,0.75,Vitamin E,,Stability issues,Limited,0.4,0.3,,,,Moderate,4,4,Low
Evening Primrose Oil,Oenothera Biennis Oil,Functional,Barrier repair oil,0.5,3,15,Barrier Support; GLA supply,GLA supply,Barrier Repair,4.0-8.0,Oxidation sensitive,Low,1,Safe,Limited,4-8 weeks,0.7,Ceramides,,Oxidation risk,Limited,0.4,0.28,,,,Moderate,8,4,Low
Borage Seed Oil,Borago Officinalis Seed Oil,Functional,Barrier repair oil,0.5,3,15,Barrier Support; GLA-rich oil,GLA-rich oil,Barrier Repair,4.0-8.0,Oxidation sensitive,Low,1,Safe,Limited,4-8 weeks,0.75,Ceramides,,Oxidation risk,Limited,0.4,0.3,,,,Moderate,8,4,Low
Camellia Seed Oil,Camellia Japonica Seed Oil,Functional,Light emollient,1,5,20,Skin softening; Hydration; Oleic-rich lipid,Oleic-rich lipid,Hydration,4.0-8.0,Stable,Low,1,Safe,Limited,2-4 weeks,0.65,Squalane,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Grapeseed Oil,Vitis Vinifera Seed Oil,Functional,Light emollient,1,5,20,Antioxidant; Hydration; Polyphenols,Polyphenols,Acne & Oily Skin; Hydration; UV Damage; Aging & Fine Lines,4.0-8.0,Oxidation sensitive,Low,1,Safe,Limited,2-4 weeks,0.6,Vitamin E,,Oxidation risk,Limited,0.4,0.24,,,,Moderate,6,4,Low
Sweet Almond Oil,Prunus Amygdalus Dulcis Oil,Functional,Emollient,1,5,20,Skin softening; Hydration; Oleic/linoleic lipid replenishment,Oleic/linoleic lipid replenishment,Hydration,4.0-8.0,Oxidation sensitive,Low,2,Safe,Limited,2-4 weeks,0.6,Vitamin E,,Nut allergen concern,Limited,0.4,0.24,,,,Moderate,6,4,Low
Avocado Oil,Persea Gratissima Oil,Functional,Nourishing emollient,1,5,20,Barrier Support; Hydration; Phytosterol-rich lipid,Phytosterol-rich lipid,Barrier Repair; Hydration,4.0-8.0,Oxidation sensitive,Low,2,Safe,Limited,2-4 weeks,0.7,Ceramides,,Heavy feel,Limited,0.4,0.28,,,,Moderate,6,4,Low
Macadamia Seed Oil,Macadamia Integrifolia Seed Oil,Functional,Emollient,1,5,20,Barrier Support; Hydration; Palmitoleic acid supply,Palmitoleic acid supply,Hydration; Barrier Repair,4.0-8.0,Stable,Low,2,Safe,Limited,2-4 weeks,0.65,Squalane,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Hemp Seed Oil,Cannabis Sativa Seed Oil,Functional,Barrier repair oil,1,5,20,Barrier Support; Omega-3/6 lipids,Omega-3/6 lipids,Barrier Repair; Acne & Oily Skin,4.0-8.0,Oxidation sensitive,Low,0,Safe,Limited,2-4 weeks,0.75,Niacinamide,,Oxidation risk,Limited,0.4,0.3,,,,Moderate,8,4,Low
Meadowfoam Seed Oil,Limnanthes Alba Seed Oil,Functional,Stable emollient,1,5,20,Barrier Support; Hydration; Long-chain fatty acids,Long-chain fatty acids,Barrier Repair; Hydration,4.0-8.0,Highly stable,Low,1,Safe,Limited,2-4 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,,Moderate,6,4,Low
Rice Bran Oil,Oryza Sativa Bran Oil,Functional,Antioxidant emollient,1,5,20,Barrier Support; Hydration; Gamma-oryzanol,Gamma-oryzanol,Hydration; Barrier Repair,4.0-8.0,Moderately stable,Low,1,Safe,Moderate,2-4 weeks,0.65,Vitamin E,,,Moderate,0.7,0.455,,,,Moderate,6,6,Low
Sea Buckthorn Oil,Hippophae Rhamnoides Oil,Functional,Regenerative oil,0.5,2,10,Barrier Support; Regenerative oil; Omega-7 fatty acids,Omega-7 fatty acids,Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,4.0-8.0,Oxidation sensitive,Low,1,Safe,Limited,4-8 weeks,0.8,Vitamin E,,Color staining,Limited,0.4,0.3200000000000001,,,,Moderate,4,4,Low
Tamanu Oil,Calophyllum Inophyllum Seed Oil,Functional,Repair oil,0.5,2,10,Scar support; Barrier Support; Calophyllolide activity,Calophyllolide activity,Acne & Oily Skin; Barrier Repair,4.0-8.0,Oxidation sensitive,Medium,2,Safe,Limited,4-8 weeks,0.75,Vitamin E,,Irritation risk,Limited,0.4,0.3,,,,Moderate,4,4,Medium
Marula Oil,Sclerocarya Birrea Seed Oil,Functional,Emollient,1,5,20,Antioxidant; Hydration; Oleic-rich lipid,Oleic-rich lipid,Hydration; UV Damage; Aging & Fine Lines,4.0-8.0,Highly stable,Low,1,Safe,Limited,2-4 weeks,0.65,Vitamin E,,,Limited,0.4,0.26,,,,Moderate,6,4,Low
Kukui Nut Oil,Aleurites Moluccanus Seed Oil,Functional,Barrier repair oil,1,5,20,Barrier Support; Linoleic-rich lipid,Linoleic-rich lipid,Barrier Repair,4.0-8.0,Oxidation sensitive,Low,1,Safe,Limited,2-4 weeks,0.7,Ceramides,,Oxidation risk,Limited,0.4,0.28,,,,Moderate,8,4,Low
Niacinamide Polydextrose,Vitamin B3 polymer complex,Active,Barrier repair;Hydration,1,3,5,Barrier Support; Hydration; Sustained niacinamide release,Sustained niacinamide release,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,6-10 weeks,0.7,Ceramides,Strong acids,Limited adoption,Limited,0.4,0.28,,,,Limited clinical evidence,8,4,Low
Retinyl Retinoate,Hybrid retinoid,Active,Anti-aging,0.05,0.1,0.3,Anti-aging; RAR activation (dual),RAR activation (dual),Aging & Fine Lines,5.0-6.5,Light sensitive,High,1,Avoid pregnancy,Limited,8-12 weeks,0.95,Niacinamide,Benzoyl Peroxide,Irritation risk,Limited,0.4,0.38,,,,Limited clinical evidence,4,4,High
Retinyl Palmitate,Vitamin A ester,Active,Anti-aging,0.1,0.3,1,Skin renewal; Anti-aging; Enzymatic retinoic conversion,Enzymatic retinoic conversion,Aging & Fine Lines,5.5-7.0,Photounstable,Medium,1,Avoid pregnancy,Limited,12-24 weeks,0.6,Antioxidants,UV exposure,Weak efficacy claims,Limited,0.4,0.24,,,,Moderate,4,4,Medium
Granactive Retinoid,Hydroxypinacolone Retinoate,Active,Anti-aging,0.1,0.3,1,Anti-aging; Direct retinoid receptor binding,Direct retinoid receptor binding,Aging & Fine Lines,5.0-7.0,Light sensitive,Medium,1,Avoid pregnancy,Limited,8-12 weeks,0.85,Peptides,Strong acids,Marketing exaggeration,Limited,0.4,0.34,,,,Limited clinical evidence,4,4,Medium
Encapsulated Retinol,Microencapsulated retinol,Active,Anti-aging,0.1,0.25,0.5,Reduced irritation renewal; Anti-aging; Controlled release,Controlled release,Aging & Fine Lines; Acne & Oily Skin,5.5-6.5,Improved stability,Medium,1,Avoid pregnancy,Limited,8-12 weeks,0.9,Niacinamide,Benzoyl Peroxide,,Strong,1,0.36,,,,Limited clinical evidence,4,4,Medium
Polyhydroxy Acid Blend,PHA complex,Active,Gentle exfoliation,3,6,10,Exfoliation / Texture; Chelation + desquamation,Chelation + desquamation,Sensitive Skin; Uneven Texture,3.5-4.5,Stable,Low,0,Safe,Limited,4-8 weeks,0.8,Ceramides,Strong acids,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,Low
Encapsulated Salicylic Acid,Microencapsulated BHA,Active,Anti-acne,0.3,1,2,Pore Care; Anti-acne; Controlled keratolysis,Controlled keratolysis,Acne & Oily Skin; Large Pores,3.5-4.5,Improved stability,Low,1,Safe,Limited,4-6 weeks,0.85,Niacinamide,Retinoids,,Limited,0.4,0.34,,,,Limited clinical evidence,4,4,Low
Zinc Salicylate,Zinc salicylate,Active,Anti-acne,0.1,0.5,2,Oil Control; Anti-acne; Exfoliation / Texture,Antimicrobial + keratolytic,Acne & Oily Skin; Uneven Texture,5.0-6.5,Stable,Low,1,Safe,Limited,4-6 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Silver Citrate,Silver salt,Active,Antimicrobial,0.01,0.1,0.5,Microbial control; Antimicrobial; Ion-based antimicrobial,Ion-based antimicrobial,Acne & Oily Skin,5.0-7.0,Light sensitive,Medium,0,Safe topical,Limited,2-4 weeks,0.7,Preservatives,,Regulatory caution,Limited,0.4,0.28,,,,Moderate,4,4,Medium
Lactoferrin,Lactoferrin,Active,Anti-acne;Soothing,0.05,0.2,1,Inflammation reduction; Anti-acne; Soothing; Iron chelation,Iron chelation,Redness; Acne & Oily Skin,5.0-7.0,Heat sensitive,Low,0,Safe,Limited,4-8 weeks,0.75,Zinc,,Limited adoption,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Epidermal Lipid Complex,Ceramide/Cholesterol/FA blend,Active,Barrier repair,1,3,5,Barrier Support; SC lipid mimicry,SC lipid mimicry,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.95,Niacinamide,,,Limited,0.4,0.38,,,,Limited clinical evidence,8,4,Low
Lamellar Emulsion Base,Lamellar lipid system,Functional,Barrier delivery,2,5,10,Improved penetration; Barrier Support; Skin-mimetic lamellae,Skin-mimetic lamellae,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Moderate,8,4,Low
Chitosan,Chitosan,Functional,Film former;Soothing,0.1,0.5,2,Barrier Support; Film former; Soothing; Bioadhesive polymer,Bioadhesive polymer,Barrier Repair; Sensitive Skin,4.0-6.5,pH dependent,Low,0,Safe,Limited,Immediate,0.6,Hyaluronic Acid,High pH,Marine allergen concern,Limited,0.4,0.24,,,,Moderate,4,4,Low
Hydroxypropyl Chitosan,Modified chitosan,Functional,Conditioning polymer,0.1,0.5,2,Smooth feel; Conditioning polymer; Cationic film,Cationic film,Sensitive Skin,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.55,Humectants,,,Limited,0.4,0.22,,,,Moderate,4,4,Low
Alginate,Alginic acid salt,Functional,Gel former,0.5,2,5,Hydration; Gel former; Ion-crosslinked polymer,Ion-crosslinked polymer,Hydration; Sensitive Skin,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.4,Calcium salts,,,Limited,0.4,0.16,,,,Moderate,4,4,Low
Carrageenan,Carrageenan,Functional,Gel former,0.3,1,3,Exfoliation / Texture; Gel former; Polysaccharide gel,Polysaccharide gel,Uneven Texture,4.0-8.0,Stable,Low,0,Safe topical,Limited,?,0.4,Humectants,,Controversial orally,Limited,0.4,0.16,,,,Moderate,4,4,Low
